
2024/05/30 (21:36:57) | ===> btop++ v.1.3.2
2024/05/30 (21:36:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/05/31 (12:05:08) | ===> btop++ v.1.3.2
2024/05/31 (12:05:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/03 (14:31:23) | ===> btop++ v.1.3.2
2024/06/03 (14:31:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/03 (14:32:55) | ===> btop++ v.1.3.2
2024/06/03 (14:32:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (12:18:23) | ===> btop++ v.1.3.2
2024/06/11 (12:18:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (19:16:02) | ===> btop++ v.1.3.2
2024/06/11 (19:16:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/06/11 (19:16:55) | ===> btop++ v.1.3.2
2024/06/11 (19:16:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
